isbn,title,authors,year,copies_total
9780262046305,Foundations of Machine Learning Systems (demo record),R. Vann; S. Keo,2022,3
9781098150969,Building Applications with Language Models (demo record),C. Huyen,2025,2
9781835083468,Generative AI Pipelines in Practice (demo record),B. Auffarth,2024,2
9781492032649,Hands-On Machine Learning (demo record),A. Geron,2019,4
9780136042594,Artificial Intelligence: A Modern Approach (demo record),S. Russell; P. Norvig,2010,5
9781617294433,Deep Learning with Python (demo record),F. Chollet,2017,2
9781098125974,Designing Data-Intensive Systems (demo record),M. Kleppmann,2017,2
9780134685991,Effective Programming in Practice (demo record),J. Bloch,2018,1
9781119816201,Cloud Security Foundations (demo record),D. Lim,2021,2
9789924000001,Khmer Language Processing Notes (demo record),S. Chea; M. Ouk,2023,1
