title,date,start,end,location,kind
International New Year Day,2026-01-01,,,,holiday
Victory over Genocide Day,2026-01-07,,,,holiday
International Women's Day,2026-03-08,,,,holiday
Khmer New Year,2026-04-14,,,,holiday
Khmer New Year,2026-04-15,,,,holiday
Khmer New Year,2026-04-16,,,,holiday
International Labour Day,2026-05-01,,,,holiday
King's Birthday,2026-05-14,,,,holiday
Queen Mother's Birthday,2026-06-18,,,,holiday
Constitution Day,2026-09-24,,,,holiday
Commemoration Day of King Father,2026-10-15,,,,holiday
Coronation Day,2026-10-29,,,,holiday
Independence Day,2026-11-09,,,,holiday
AI Seminar: Khmer speech recognition,2026-10-08,16:00,17:30,A-101,seminar
Cloud Security Meetup,2026-10-13,17:00,18:30,D-101,seminar
Midterm exam week begins,2026-10-19,,,,exam
Midterm exam week ends,2026-10-23,,,,exam
Career fair,2026-10-28,09:00,16:00,Main hall,event
Final exam week begins,2026-12-14,,,,exam
